ID,Name,Age,Marks
411,Student411,19,61
412,Student412,20,62
413,Student413,21,63
414,Student414,22,64
415,Student415,18,65
416,Student416,19,66
417,Student417,20,67
418,Student418,21,68
419,Student419,22,69
420,Student420,18,70
421,Student421,19,71
422,Student422,20,72
423,Student423,21,73
424,Student424,22,74
425,Student425,18,75
426,Student426,19,76
427,Student427,20,77
428,Student428,21,78
429,Student429,22,79
430,Student430,18,80
431,Student431,19,81
432,Student432,20,82
433,Student433,21,83
434,Student434,22,84
435,Student435,18,85
436,Student436,19,86
437,Student437,20,87
438,Student438,21,88
439,Student439,22,89
440,Student440,18,90
441,Student441,19,91
442,Student442,20,92
443,Student443,21,93
444,Student444,22,94
445,Student445,18,95
446,Student446,19,96
447,Student447,20,97
448,Student448,21,98
449,Student449,22,99
450,Student450,18,100
451,Student451,19,60
452,Student452,20,61
453,Student453,21,62
454,Student454,22,63
455,Student455,18,64
456,Student456,19,65
457,Student457,20,66
458,Student458,21,67
459,Student459,22,68
460,Student460,18,69
461,Student461,19,70
462,Student462,20,71
463,Student463,21,72
464,Student464,22,73
465,Student465,18,74
466,Student466,19,75
467,Student467,20,76
468,Student468,21,77
469,Student469,22,78
470,Student470,18,79
471,Student471,19,80
472,Student472,20,81
473,Student473,21,82
474,Student474,22,83
475,Student475,18,84
476,Student476,19,85
477,Student477,20,86
478,Student478,21,87
479,Student479,22,88
480,Student480,18,89
481,Student481,19,90
482,Student482,20,91
483,Student483,21,92
484,Student484,22,93
485,Student485,18,94
486,Student486,19,95
487,Student487,20,96
488,Student488,21,97
489,Student489,22,98
490,Student490,18,99
491,Student491,19,100
492,Student492,20,60
493,Student493,21,61
494,Student494,22,62
495,Student495,18,63
496,Student496,19,64
497,Student497,20,65
498,Student498,21,66
499,Student499,22,67
500,Student500,18,68
501,Student501,19,69
502,Student502,20,70
503,Student503,21,71
504,Student504,22,72
505,Student505,18,73
506,Student506,19,74
507,Student507,20,75
508,Student508,21,76
509,Student509,22,77
510,Student510,18,78
511,Student511,19,79
512,Student512,20,80
513,Student513,21,81
514,Student514,22,82
515,Student515,18,83
516,Student516,19,84
517,Student517,20,85
518,Student518,21,86
519,Student519,22,87
520,Student520,18,88
521,Student521,19,89
522,Student522,20,90
523,Student523,21,91
524,Student524,22,92
525,Student525,18,93
526,Student526,19,94
527,Student527,20,95
528,Student528,21,96
529,Student529,22,97
530,Student530,18,98
531,Student531,19,99
532,Student532,20,100
533,Student533,21,60
534,Student534,22,61
535,Student535,18,62
536,Student536,19,63
537,Student537,20,64
538,Student538,21,65
539,Student539,22,66
540,Student540,18,67
541,Student541,19,68
542,Student542,20,69
543,Student543,21,70
544,Student544,22,71
545,Student545,18,72
546,Student546,19,73
547,Student547,20,74
548,Student548,21,75
549,Student549,22,76
550,Student550,18,77
551,Student551,19,78
552,Student552,20,79
553,Student553,21,80
554,Student554,22,81
555,Student555,18,82
556,Student556,19,83
557,Student557,20,84
558,Student558,21,85
559,Student559,22,86
560,Student560,18,87
561,Student561,19,88
562,Student562,20,89
563,Student563,21,90
564,Student564,22,91
565,Student565,18,92
566,Student566,19,93
567,Student567,20,94
568,Student568,21,95
569,Student569,22,96
570,Student570,18,97
571,Student571,19,98
572,Student572,20,99
573,Student573,21,100
574,Student574,22,60
575,Student575,18,61
576,Student576,19,62
577,Student577,20,63
578,Student578,21,64
579,Student579,22,65
580,Student580,18,66
581,Student581,19,67
582,Student582,20,68
583,Student583,21,69
584,Student584,22,70
585,Student585,18,71
586,Student586,19,72
587,Student587,20,73
588,Student588,21,74
589,Student589,22,75
590,Student590,18,76
591,Student591,19,77
592,Student592,20,78
593,Student593,21,79
594,Student594,22,80
595,Student595,18,81
596,Student596,19,82
597,Student597,20,83
598,Student598,21,84
599,Student599,22,85
600,Student600,18,86
601,Student601,19,87
602,Student602,20,88
603,Student603,21,89
604,Student604,22,90
605,Student605,18,91
606,Student606,19,92
607,Student607,20,93
608,Student608,21,94
609,Student609,22,95
610,Student610,18,96
611,Student611,19,97
612,Student612,20,98
613,Student613,21,99
614,Student614,22,100
615,Student615,18,60
616,Student616,19,61
617,Student617,20,62
618,Student618,21,63
619,Student619,22,64
620,Student620,18,65
621,Student621,19,66
622,Student622,20,67
623,Student623,21,68
624,Student624,22,69
625,Student625,18,70
626,Student626,19,71
627,Student627,20,72
628,Student628,21,73
629,Student629,22,74
630,Student630,18,75
631,Student631,19,76
632,Student632,20,77
633,Student633,21,78
634,Student634,22,79
635,Student635,18,80
636,Student636,19,81
637,Student637,20,82
638,Student638,21,83
639,Student639,22,84
640,Student640,18,85
641,Student641,19,86
642,Student642,20,87
643,Student643,21,88
644,Student644,22,89
645,Student645,18,90
646,Student646,19,91
647,Student647,20,92
648,Student648,21,93
649,Student649,22,94
650,Student650,18,95
651,Student651,19,96
652,Student652,20,97
653,Student653,21,98
654,Student654,22,99
655,Student655,18,100
656,Student656,19,60
657,Student657,20,61
658,Student658,21,62
659,Student659,22,63
660,Student660,18,64
661,Student661,19,65
662,Student662,20,66
663,Student663,21,67
664,Student664,22,68
665,Student665,18,69
666,Student666,19,70
667,Student667,20,71
668,Student668,21,72
669,Student669,22,73
670,Student670,18,74
671,Student671,19,75
672,Student672,20,76
673,Student673,21,77
674,Student674,22,78
675,Student675,18,79
676,Student676,19,80
677,Student677,20,81
678,Student678,21,82
679,Student679,22,83
680,Student680,18,84
681,Student681,19,85
682,Student682,20,86
683,Student683,21,87
684,Student684,22,88
685,Student685,18,89
686,Student686,19,90
687,Student687,20,91
688,Student688,21,92
689,Student689,22,93
690,Student690,18,94
691,Student691,19,95
692,Student692,20,96
693,Student693,21,97
694,Student694,22,98
695,Student695,18,99
696,Student696,19,100
697,Student697,20,60
698,Student698,21,61
699,Student699,22,62
700,Student700,18,63
701,Student701,19,64
702,Student702,20,65
703,Student703,21,66
704,Student704,22,67
705,Student705,18,68
706,Student706,19,69
707,Student707,20,70
708,Student708,21,71
709,Student709,22,72
710,Student710,18,73
711,Student711,19,74
712,Student712,20,75
713,Student713,21,76
714,Student714,22,77
715,Student715,18,78
716,Student716,19,79
717,Student717,20,80
718,Student718,21,81
719,Student719,22,82
720,Student720,18,83
721,Student721,19,84
722,Student722,20,85
723,Student723,21,86
724,Student724,22,87
725,Student725,18,88
726,Student726,19,89
727,Student727,20,90
728,Student728,21,91
729,Student729,22,92
730,Student730,18,93
731,Student731,19,94
732,Student732,20,95
733,Student733,21,96
734,Student734,22,97
735,Student735,18,98
736,Student736,19,99
737,Student737,20,100
738,Student738,21,60
739,Student739,22,61
740,Student740,18,62
741,Student741,19,63
742,Student742,20,64
743,Student743,21,65
744,Student744,22,66
745,Student745,18,67
746,Student746,19,68
747,Student747,20,69
748,Student748,21,70
749,Student749,22,71
750,Student750,18,72
751,Student751,19,73
752,Student752,20,74
753,Student753,21,75
754,Student754,22,76
755,Student755,18,77
756,Student756,19,78
757,Student757,20,79
758,Student758,21,80
759,Student759,22,81
760,Student760,18,82
761,Student761,19,83
762,Student762,20,84
763,Student763,21,85
764,Student764,22,86
765,Student765,18,87
766,Student766,19,88
767,Student767,20,89
768,Student768,21,90
769,Student769,22,91
770,Student770,18,92
771,Student771,19,93
772,Student772,20,94
773,Student773,21,95
774,Student774,22,96
775,Student775,18,97
776,Student776,19,98
777,Student777,20,99
778,Student778,21,100
779,Student779,22,60
780,Student780,18,61
781,Student781,19,62
782,Student782,20,63
783,Student783,21,64
784,Student784,22,65
785,Student785,18,66
786,Student786,19,67
787,Student787,20,68
788,Student788,21,69
789,Student789,22,70
790,Student790,18,71
791,Student791,19,72
792,Student792,20,73
793,Student793,21,74
794,Student794,22,75
795,Student795,18,76
796,Student796,19,77
797,Student797,20,78
798,Student798,21,79
799,Student799,22,80
800,Student800,18,81
801,Student801,19,82
802,Student802,20,83
803,Student803,21,84
804,Student804,22,85
805,Student805,18,86
806,Student806,19,87
807,Student807,20,88
808,Student808,21,89
809,Student809,22,90
810,Student810,18,91
811,Student811,19,92
812,Student812,20,93
813,Student813,21,94
814,Student814,22,95
815,Student815,18,96
816,Student816,19,97
817,Student817,20,98
818,Student818,21,99
819,Student819,22,100
820,Student820,18,60
821,Student821,19,61
822,Student822,20,62
823,Student823,21,63
824,Student824,22,64
825,Student825,18,65
826,Student826,19,66
827,Student827,20,67
828,Student828,21,68
829,Student829,22,69
830,Student830,18,70
831,Student831,19,71
832,Student832,20,72
833,Student833,21,73
834,Student834,22,74
835,Student835,18,75
836,Student836,19,76
837,Student837,20,77
838,Student838,21,78
839,Student839,22,79
840,Student840,18,80
841,Student841,19,81
842,Student842,20,82
843,Student843,21,83
844,Student844,22,84
845,Student845,18,85
846,Student846,19,86
847,Student847,20,87
848,Student848,21,88
849,Student849,22,89
850,Student850,18,90
851,Student851,19,91
852,Student852,20,92
853,Student853,21,93
854,Student854,22,94
855,Student855,18,95
856,Student856,19,96
857,Student857,20,97
858,Student858,21,98
859,Student859,22,99
860,Student860,18,100
861,Student861,19,60
862,Student862,20,61
863,Student863,21,62
864,Student864,22,63
865,Student865,18,64
866,Student866,19,65
867,Student867,20,66
868,Student868,21,67
869,Student869,22,68
870,Student870,18,69
871,Student871,19,70
872,Student872,20,71
873,Student873,21,72
874,Student874,22,73
875,Student875,18,74
876,Student876,19,75
877,Student877,20,76
878,Student878,21,77
879,Student879,22,78
880,Student880,18,79
881,Student881,19,80
882,Student882,20,81
883,Student883,21,82
884,Student884,22,83
885,Student885,18,84
886,Student886,19,85
887,Student887,20,86
888,Student888,21,87
889,Student889,22,88
890,Student890,18,89
891,Student891,19,90
892,Student892,20,91
893,Student893,21,92
894,Student894,22,93
895,Student895,18,94
896,Student896,19,95
897,Student897,20,96
898,Student898,21,97
899,Student899,22,98
900,Student900,18,99
901,Student901,19,100
902,Student902,20,60
903,Student903,21,61
904,Student904,22,62
905,Student905,18,63
906,Student906,19,64
907,Student907,20,65
908,Student908,21,66
909,Student909,22,67
910,Student910,18,68
911,Student911,19,69
912,Student912,20,70
913,Student913,21,71
914,Student914,22,72
915,Student915,18,73
916,Student916,19,74
917,Student917,20,75
918,Student918,21,76
919,Student919,22,77
920,Student920,18,78
921,Student921,19,79
922,Student922,20,80
923,Student923,21,81
924,Student924,22,82
925,Student925,18,83
926,Student926,19,84
927,Student927,20,85
928,Student928,21,86
929,Student929,22,87
930,Student930,18,88
931,Student931,19,89
932,Student932,20,90
933,Student933,21,91
934,Student934,22,92
935,Student935,18,93
936,Student936,19,94
937,Student937,20,95
938,Student938,21,96
939,Student939,22,97
940,Student940,18,98
941,Student941,19,99
942,Student942,20,100
943,Student943,21,60
944,Student944,22,61
945,Student945,18,62
946,Student946,19,63
947,Student947,20,64
948,Student948,21,65
949,Student949,22,66
950,Student950,18,67
951,Student951,19,68
952,Student952,20,69
953,Student953,21,70
954,Student954,22,71
955,Student955,18,72
956,Student956,19,73
957,Student957,20,74
958,Student958,21,75
959,Student959,22,76
960,Student960,18,77
961,Student961,19,78
962,Student962,20,79
963,Student963,21,80
964,Student964,22,81
965,Student965,18,82
966,Student966,19,83
967,Student967,20,84
968,Student968,21,85
969,Student969,22,86
970,Student970,18,87
971,Student971,19,88
972,Student972,20,89
973,Student973,21,90
974,Student974,22,91
975,Student975,18,92
976,Student976,19,93
977,Student977,20,94
978,Student978,21,95
979,Student979,22,96
980,Student980,18,97
981,Student981,19,98
982,Student982,20,99
983,Student983,21,100
984,Student984,22,60
985,Student985,18,61
986,Student986,19,62
987,Student987,20,63
988,Student988,21,64
989,Student989,22,65
990,Student990,18,66
991,Student991,19,67
992,Student992,20,68
993,Student993,21,69
994,Student994,22,70
995,Student995,18,71
996,Student996,19,72
997,Student997,20,73
998,Student998,21,74
999,Student999,22,75
1000,Student1000,18,76
